subject,predicate,object,subject_name,object_name,KG_type,relation,category,classifier,auc_roc,log_odds_ratio,log_odds_ratio_95_ci_lower,log_odds_ratio_95_ci_upper,log_odds_ratio_95_ci,adjusted_p_value,positive_patient_count,negative_patient_count,total_sample_size,positive_patient_text,negative_patient_text,all_patient_text,,primary_knowledge_source,knowledge_level,agent_type
PUBCHEM.COMPOUND:121586,biolink:associated_with_increased_likelihood_of,MONDO:0007915,zoledronic acid,systemic lupus erythematosus,May Treat KG,RO:0003308,biolink:Association,Logistic Regression,0.944420187,0.0528,-0.078,0.184,"[-0.078,0.184]",0.429,126400,21717700,21844100,"Sample size with zoledronic acid, approximately: 126400","Sample size without zoledronic acid, approximately: 21717700",All patients number is approximately: 21844100,,infores:isb-EHRMLA-data,prediction,computational_model
PUBCHEM.COMPOUND:121586,biolink:associated_with_increased_likelihood_of,MONDO:0002869,zoledronic acid,heart valve disease,May Treat KG,RO:0003308,biolink:Association,Logistic Regression,0.944420187,0.0319,-0.134,0.198,"[-0.134,0.198]",0.706,126400,21717700,21844100,"Sample size with zoledronic acid, approximately: 126400","Sample size without zoledronic acid, approximately: 21717700",All patients number is approximately: 21844100,,infores:isb-EHRMLA-data,prediction,computational_model
PUBCHEM.COMPOUND:121586,biolink:associated_with_increased_likelihood_of,MONDO:0008383,zoledronic acid,rheumatoid arthritis,May Treat KG,RO:0003308,biolink:Association,Logistic Regression,0.944420187,0.0259,-0.156,0.208,"[-0.156,0.208]",0.78,126400,21717700,21844100,"Sample size with zoledronic acid, approximately: 126400","Sample size without zoledronic acid, approximately: 21717700",All patients number is approximately: 21844100,,infores:isb-EHRMLA-data,prediction,computational_model
PUBCHEM.COMPOUND:121586,biolink:associated_with_increased_likelihood_of,MONDO:0007027,zoledronic acid,nonalcoholic steatohepatitis,May Treat KG,RO:0003308,biolink:Association,Logistic Regression,0.944420187,0.0253,0.003,0.047,"[0.003,0.047]",0.024,126400,21717700,21844100,"Sample size with zoledronic acid, approximately: 126400","Sample size without zoledronic acid, approximately: 21717700",All patients number is approximately: 21844100,,infores:isb-EHRMLA-data,prediction,computational_model
PUBCHEM.COMPOUND:121586,biolink:associated_with_increased_likelihood_of,MONDO:0005146,zoledronic acid,posttraumatic stress disorder,May Treat KG,RO:0003308,biolink:Association,Logistic Regression,0.944420187,0.0193,-0.069,0.108,"[-0.069,0.108]",0.67,126400,21717700,21844100,"Sample size with zoledronic acid, approximately: 126400","Sample size without zoledronic acid, approximately: 21717700",All patients number is approximately: 21844100,,infores:isb-EHRMLA-data,prediction,computational_model
PUBCHEM.COMPOUND:121586,biolink:associated_with_increased_likelihood_of,MONDO:0004979,zoledronic acid,asthma,May Treat KG,RO:0003308,biolink:Association,Logistic Regression,0.944420187,0.0139,-0.24,0.268,"[-0.24,0.268]",0.915,126400,21717700,21844100,"Sample size with zoledronic acid, approximately: 126400","Sample size without zoledronic acid, approximately: 21717700",All patients number is approximately: 21844100,,infores:isb-EHRMLA-data,prediction,computational_model
PUBCHEM.COMPOUND:121586,biolink:associated_with_increased_likelihood_of,MONDO:0002046,zoledronic acid,alcohol abuse,May Treat KG,RO:0003308,biolink:Association,Logistic Regression,0.944420187,0.0048,-0.376,0.386,"[-0.376,0.386]",0.98,126400,21717700,21844100,"Sample size with zoledronic acid, approximately: 126400","Sample size without zoledronic acid, approximately: 21717700",All patients number is approximately: 21844100,,infores:isb-EHRMLA-data,prediction,computational_model
PUBCHEM.COMPOUND:121586,biolink:associated_with_increased_likelihood_of,MONDO:0005010,zoledronic acid,chronic ischemic heart disease,May Treat KG,RO:0003308,biolink:Association,Logistic Regression,0.944420187,0.0032,-0.142,0.149,"[-0.142,0.149]",0.965,126400,21717700,21844100,"Sample size with zoledronic acid, approximately: 126400","Sample size without zoledronic acid, approximately: 21717700",All patients number is approximately: 21844100,,infores:isb-EHRMLA-data,prediction,computational_model
PUBCHEM.COMPOUND:121586,biolink:associated_with_increased_likelihood_of,MONDO:0005002,zoledronic acid,chronic obstructive pulmonary disease,May Treat KG,RO:0003308,biolink:Association,Logistic Regression,0.944420187,6.00E-04,-0.325,0.326,"[-0.325,0.326]",0.997,126400,21717700,21844100,"Sample size with zoledronic acid, approximately: 126400","Sample size without zoledronic acid, approximately: 21717700",All patients number is approximately: 21844100,,infores:isb-EHRMLA-data,prediction,computational_model
PUBCHEM.COMPOUND:60854,biolink:associated_with_increased_likelihood_of,MONDO:0021187,ziprasidone,hyperlipidemia,May Treat KG,RO:0003308,biolink:Association,Logistic Regression,0.931089431,0.6264,0.612,0.641,"[0.612,0.641]",1.00E-04,260100,21662700,21922800,"Sample size with ziprasidone, approximately: 260100","Sample size without ziprasidone, approximately: 21662700",All patients number is approximately: 21922800,,infores:isb-EHRMLA-data,prediction,computational_model
PUBCHEM.COMPOUND:60854,biolink:associated_with_increased_likelihood_of,MONDO:0005546,ziprasidone,fibromyalgia,May Treat KG,RO:0003308,biolink:Association,Logistic Regression,0.931089431,0.4784,0.465,0.492,"[0.465,0.492]",1.00E-04,260100,21662700,21922800,"Sample size with ziprasidone, approximately: 260100","Sample size without ziprasidone, approximately: 21662700",All patients number is approximately: 21922800,,infores:isb-EHRMLA-data,prediction,computational_model
PUBCHEM.COMPOUND:60854,biolink:associated_with_increased_likelihood_of,MONDO:0005002,ziprasidone,chronic obstructive pulmonary disease,May Treat KG,RO:0003308,biolink:Association,Logistic Regression,0.931089431,0.3814,0.366,0.397,"[0.366,0.397]",1.00E-04,260100,21662700,21922800,"Sample size with ziprasidone, approximately: 260100","Sample size without ziprasidone, approximately: 21662700",All patients number is approximately: 21922800,,infores:isb-EHRMLA-data,prediction,computational_model
PUBCHEM.COMPOUND:60854,biolink:associated_with_increased_likelihood_of,MONDO:0000424,ziprasidone,vitamin b12 deficiency,May Treat KG,RO:0003308,biolink:Association,Logistic Regression,0.931089431,0.3427,0.324,0.361,"[0.324,0.361]",1.00E-04,260100,21662700,21922800,"Sample size with ziprasidone, approximately: 260100","Sample size without ziprasidone, approximately: 21662700",All patients number is approximately: 21922800,,infores:isb-EHRMLA-data,prediction,computational_model
PUBCHEM.COMPOUND:60854,biolink:associated_with_increased_likelihood_of,MONDO:0005148,ziprasidone,diabetes mellitus type 2,May Treat KG,RO:0003308,biolink:Association,Logistic Regression,0.931089431,0.29,0.275,0.305,"[0.275,0.305]",1.00E-04,260100,21662700,21922800,"Sample size with ziprasidone, approximately: 260100","Sample size without ziprasidone, approximately: 21662700",All patients number is approximately: 21922800,,infores:isb-EHRMLA-data,prediction,computational_model
PUBCHEM.COMPOUND:60854,biolink:associated_with_increased_likelihood_of,MONDO:0018177,ziprasidone,glioblastoma multiforme,May Treat KG,RO:0003308,biolink:Association,Logistic Regression,0.931089431,0.2864,0.271,0.302,"[0.271,0.302]",1.00E-04,260100,21662700,21922800,"Sample size with ziprasidone, approximately: 260100","Sample size without ziprasidone, approximately: 21662700",All patients number is approximately: 21922800,,infores:isb-EHRMLA-data,prediction,computational_model
PUBCHEM.COMPOUND:60854,biolink:associated_with_increased_likelihood_of,MONDO:0005298,ziprasidone,osteoporosis,May Treat KG,RO:0003308,biolink:Association,Logistic Regression,0.931089431,0.2306,0.198,0.263,"[0.198,0.263]",1.00E-04,260100,21662700,21922800,"Sample size with ziprasidone, approximately: 260100","Sample size without ziprasidone, approximately: 21662700",All patients number is approximately: 21922800,,infores:isb-EHRMLA-data,prediction,computational_model
PUBCHEM.COMPOUND:60854,biolink:associated_with_increased_likelihood_of,MONDO:0005393,ziprasidone,gout,May Treat KG,RO:0003308,biolink:Association,Logistic Regression,0.931089431,0.1169,0.102,0.132,"[0.102,0.132]",1.00E-04,260100,21662700,21922800,"Sample size with ziprasidone, approximately: 260100","Sample size without ziprasidone, approximately: 21662700",All patients number is approximately: 21922800,,infores:isb-EHRMLA-data,prediction,computational_model
PUBCHEM.COMPOUND:60854,biolink:associated_with_increased_likelihood_of,MONDO:0005180,ziprasidone,parkinsons disease,May Treat KG,RO:0003308,biolink:Association,Logistic Regression,0.931089431,0.1095,0.083,0.136,"[0.083,0.136]",1.00E-04,260100,21662700,21922800,"Sample size with ziprasidone, approximately: 260100","Sample size without ziprasidone, approximately: 21662700",All patients number is approximately: 21922800,,infores:isb-EHRMLA-data,prediction,computational_model
PUBCHEM.COMPOUND:60854,biolink:associated_with_increased_likelihood_of,MONDO:0004975,ziprasidone,alzheimers disease,May Treat KG,RO:0003308,biolink:Association,Logistic Regression,0.931089431,0.1055,0.036,0.176,"[0.036,0.176]",0.003,260100,21662700,21922800,"Sample size with ziprasidone, approximately: 260100","Sample size without ziprasidone, approximately: 21662700",All patients number is approximately: 21922800,,infores:isb-EHRMLA-data,prediction,computational_model
PUBCHEM.COMPOUND:60854,biolink:associated_with_increased_likelihood_of,MONDO:0007947,ziprasidone,marfan syndrome,May Treat KG,RO:0003308,biolink:Association,Logistic Regression,0.931089431,0.0972,0.065,0.129,"[0.065,0.129]",1.00E-04,260100,21662700,21922800,"Sample size with ziprasidone, approximately: 260100","Sample size without ziprasidone, approximately: 21662700",All patients number is approximately: 21922800,,infores:isb-EHRMLA-data,prediction,computational_model
PUBCHEM.COMPOUND:60854,biolink:associated_with_increased_likelihood_of,MONDO:0004952,ziprasidone,hodgkin disease,May Treat KG,RO:0003308,biolink:Association,Logistic Regression,0.931089431,0.078,0.035,0.121,"[0.035,0.121]",1.00E-04,260100,21662700,21922800,"Sample size with ziprasidone, approximately: 260100","Sample size without ziprasidone, approximately: 21662700",All patients number is approximately: 21922800,,infores:isb-EHRMLA-data,prediction,computational_model
PUBCHEM.COMPOUND:60854,biolink:associated_with_increased_likelihood_of,MONDO:0002316,ziprasidone,hereditary motor and sensory neuropathy,May Treat KG,RO:0003308,biolink:Association,Logistic Regression,0.931089431,0.0421,-0.008,0.092,"[-0.008,0.092]",0.099,260100,21662700,21922800,"Sample size with ziprasidone, approximately: 260100","Sample size without ziprasidone, approximately: 21662700",All patients number is approximately: 21922800,,infores:isb-EHRMLA-data,prediction,computational_model
PUBCHEM.COMPOUND:60854,biolink:associated_with_increased_likelihood_of,MONDO:0010602,ziprasidone,hemophilia,May Treat KG,RO:0003308,biolink:Association,Logistic Regression,0.931089431,0.033,0.017,0.049,"[0.017,0.049]",1.00E-04,260100,21662700,21922800,"Sample size with ziprasidone, approximately: 260100","Sample size without ziprasidone, approximately: 21662700",All patients number is approximately: 21922800,,infores:isb-EHRMLA-data,prediction,computational_model
PUBCHEM.COMPOUND:60854,biolink:associated_with_increased_likelihood_of,MONDO:0005101,ziprasidone,ulcerative colitis,May Treat KG,RO:0003308,biolink:Association,Logistic Regression,0.931089431,0.0211,-0.116,0.158,"[-0.116,0.158]",0.763,260100,21662700,21922800,"Sample size with ziprasidone, approximately: 260100","Sample size without ziprasidone, approximately: 21662700",All patients number is approximately: 21922800,,infores:isb-EHRMLA-data,prediction,computational_model
PUBCHEM.COMPOUND:60854,biolink:associated_with_increased_likelihood_of,FB:FBgn0001201,ziprasidone,hiv,May Treat KG,RO:0003308,biolink:Association,Logistic Regression,0.931089431,0.0189,-0.021,0.058,"[-0.021,0.058]",0.348,260100,21662700,21922800,"Sample size with ziprasidone, approximately: 260100","Sample size without ziprasidone, approximately: 21662700",All patients number is approximately: 21922800,,infores:isb-EHRMLA-data,prediction,computational_model
PUBCHEM.COMPOUND:60854,biolink:associated_with_increased_likelihood_of,UMLS:C0577631,ziprasidone,carotid atherosclerosis,May Treat KG,RO:0003308,biolink:Association,Logistic Regression,0.931089431,0.0168,-0.206,0.24,"[-0.206,0.24]",0.883,260100,21662700,21922800,"Sample size with ziprasidone, approximately: 260100","Sample size without ziprasidone, approximately: 21662700",All patients number is approximately: 21922800,,infores:isb-EHRMLA-data,prediction,computational_model
PUBCHEM.COMPOUND:60854,biolink:associated_with_increased_likelihood_of,MONDO:0005392,ziprasidone,scoliosis,May Treat KG,RO:0003308,biolink:Association,Logistic Regression,0.931089431,0.0167,-0.032,0.066,"[-0.032,0.066]",0.507,260100,21662700,21922800,"Sample size with ziprasidone, approximately: 260100","Sample size without ziprasidone, approximately: 21662700",All patients number is approximately: 21922800,,infores:isb-EHRMLA-data,prediction,computational_model
PUBCHEM.COMPOUND:60854,biolink:associated_with_increased_likelihood_of,MONDO:0003620,ziprasidone,peripheral neuropathy,May Treat KG,RO:0003308,biolink:Association,Logistic Regression,0.931089431,0.0157,-0.146,0.177,"[-0.146,0.177]",0.849,260100,21662700,21922800,"Sample size with ziprasidone, approximately: 260100","Sample size without ziprasidone, approximately: 21662700",All patients number is approximately: 21922800,,infores:isb-EHRMLA-data,prediction,computational_model
PUBCHEM.COMPOUND:60854,biolink:associated_with_increased_likelihood_of,MONDO:0005404,ziprasidone,chronic fatigue syndrome,May Treat KG,RO:0003308,biolink:Association,Logistic Regression,0.931089431,0.0087,-0.2,0.218,"[-0.2,0.218]",0.935,260100,21662700,21922800,"Sample size with ziprasidone, approximately: 260100","Sample size without ziprasidone, approximately: 21662700",All patients number is approximately: 21922800,,infores:isb-EHRMLA-data,prediction,computational_model
PUBCHEM.COMPOUND:60854,biolink:associated_with_increased_likelihood_of,MONDO:0005364,ziprasidone,graves disease,May Treat KG,RO:0003308,biolink:Association,Logistic Regression,0.931089431,0.0083,-0.096,0.113,"[-0.096,0.113]",0.877,260100,21662700,21922800,"Sample size with ziprasidone, approximately: 260100","Sample size without ziprasidone, approximately: 21662700",All patients number is approximately: 21922800,,infores:isb-EHRMLA-data,prediction,computational_model
PUBCHEM.COMPOUND:60854,biolink:associated_with_increased_likelihood_of,MONDO:0004425,ziprasidone,hyperthyroidism,May Treat KG,RO:0003308,biolink:Association,Logistic Regression,0.931089431,0.0066,-0.154,0.167,"[-0.154,0.167]",0.936,260100,21662700,21922800,"Sample size with ziprasidone, approximately: 260100","Sample size without ziprasidone, approximately: 21662700",All patients number is approximately: 21922800,,infores:isb-EHRMLA-data,prediction,computational_model
PUBCHEM.COMPOUND:60854,biolink:associated_with_increased_likelihood_of,MONDO:0007739,ziprasidone,huntingtons disease,May Treat KG,RO:0003308,biolink:Association,Logistic Regression,0.931089431,0.004,-0.215,0.224,"[-0.215,0.224]",0.971,260100,21662700,21922800,"Sample size with ziprasidone, approximately: 260100","Sample size without ziprasidone, approximately: 21662700",All patients number is approximately: 21922800,,infores:isb-EHRMLA-data,prediction,computational_model
PUBCHEM.COMPOUND:60854,biolink:associated_with_increased_likelihood_of,MONDO:0005149,ziprasidone,pulmonary hypertension,May Treat KG,RO:0003308,biolink:Association,Logistic Regression,0.931089431,0.0039,-0.269,0.277,"[-0.269,0.277]",0.978,260100,21662700,21922800,"Sample size with ziprasidone, approximately: 260100","Sample size without ziprasidone, approximately: 21662700",All patients number is approximately: 21922800,,infores:isb-EHRMLA-data,prediction,computational_model
PUBCHEM.COMPOUND:60854,biolink:associated_with_increased_likelihood_of,MONDO:0002277,ziprasidone,arteriosclerosis,May Treat KG,RO:0003308,biolink:Association,Logistic Regression,0.931089431,0.0028,-0.235,0.24,"[-0.235,0.24]",0.982,260100,21662700,21922800,"Sample size with ziprasidone, approximately: 260100","Sample size without ziprasidone, approximately: 21662700",All patients number is approximately: 21922800,,infores:isb-EHRMLA-data,prediction,computational_model
PUBCHEM.COMPOUND:60854,biolink:associated_with_increased_likelihood_of,MONDO:0002909,ziprasidone,hyperglycemia,May Treat KG,RO:0003308,biolink:Association,Logistic Regression,0.931089431,5.00E-04,-1.638,1.639,"[-1.638,1.639]",1,260100,21662700,21922800,"Sample size with ziprasidone, approximately: 260100","Sample size without ziprasidone, approximately: 21662700",All patients number is approximately: 21922800,,infores:isb-EHRMLA-data,prediction,computational_model
PUBCHEM.COMPOUND:35370,biolink:associated_with_increased_likelihood_of,MONDO:0005178,zidovudine,osteoarthritis,May Treat KG,RO:0003308,biolink:Association,Logistic Regression,0.994875411,0.0383,-0.812,0.889,"[-0.812,0.889]",0.93,4400,21789700,21794100,"Sample size with zidovudine, approximately: 4400","Sample size without zidovudine, approximately: 21789700",All patients number is approximately: 21794100,,infores:isb-EHRMLA-data,prediction,computational_model
PUBCHEM.COMPOUND:35370,biolink:associated_with_increased_likelihood_of,MONDO:0007186,zidovudine,gerd,May Treat KG,RO:0003308,biolink:Association,Logistic Regression,0.994875411,0.0089,-147.849,147.866,"[-147.849,147.866]",1,4400,21789700,21794100,"Sample size with zidovudine, approximately: 4400","Sample size without zidovudine, approximately: 21789700",All patients number is approximately: 21794100,,infores:isb-EHRMLA-data,prediction,computational_model
PUBCHEM.COMPOUND:5717,biolink:associated_with_increased_likelihood_of,MONDO:0007186,zafirlukast,gerd,May Treat KG,RO:0003308,biolink:Association,Logistic Regression,0.918906957,1.1987,1.147,1.25,"[1.147,1.25]",1.00E-04,14800,21784200,21799000,"Sample size with zafirlukast, approximately: 14800","Sample size without zafirlukast, approximately: 21784200",All patients number is approximately: 21799000,,infores:isb-EHRMLA-data,prediction,computational_model
PUBCHEM.COMPOUND:5717,biolink:associated_with_increased_likelihood_of,MONDO:0005146,zafirlukast,posttraumatic stress disorder,May Treat KG,RO:0003308,biolink:Association,Logistic Regression,0.918906957,0.5024,0.389,0.616,"[0.389,0.616]",1.00E-04,14800,21784200,21799000,"Sample size with zafirlukast, approximately: 14800","Sample size without zafirlukast, approximately: 21784200",All patients number is approximately: 21799000,,infores:isb-EHRMLA-data,prediction,computational_model
PUBCHEM.COMPOUND:5717,biolink:associated_with_increased_likelihood_of,MONDO:0002046,zafirlukast,alcohol abuse,May Treat KG,RO:0003308,biolink:Association,Logistic Regression,0.918906957,0.1159,-0.265,0.497,"[-0.265,0.497]",0.551,14800,21784200,21799000,"Sample size with zafirlukast, approximately: 14800","Sample size without zafirlukast, approximately: 21784200",All patients number is approximately: 21799000,,infores:isb-EHRMLA-data,prediction,computational_model
PUBCHEM.COMPOUND:5717,biolink:associated_with_increased_likelihood_of,MONDO:0005302,zafirlukast,attention deficit hyperactivity disorder,May Treat KG,RO:0003308,biolink:Association,Logistic Regression,0.918906957,0.1025,0.051,0.154,"[0.051,0.154]",1.00E-04,14800,21784200,21799000,"Sample size with zafirlukast, approximately: 14800","Sample size without zafirlukast, approximately: 21784200",All patients number is approximately: 21799000,,infores:isb-EHRMLA-data,prediction,computational_model
PUBCHEM.COMPOUND:5717,biolink:associated_with_increased_likelihood_of,MONDO:0005002,zafirlukast,chronic obstructive pulmonary disease,May Treat KG,RO:0003308,biolink:Association,Logistic Regression,0.918906957,0.1004,-0.027,0.228,"[-0.027,0.228]",0.124,14800,21784200,21799000,"Sample size with zafirlukast, approximately: 14800","Sample size without zafirlukast, approximately: 21784200",All patients number is approximately: 21799000,,infores:isb-EHRMLA-data,prediction,computational_model
PUBCHEM.COMPOUND:5717,biolink:associated_with_increased_likelihood_of,MONDO:0005392,zafirlukast,scoliosis,May Treat KG,RO:0003308,biolink:Association,Logistic Regression,0.918906957,0.0135,-0.27,0.297,"[-0.27,0.297]",0.926,14800,21784200,21799000,"Sample size with zafirlukast, approximately: 14800","Sample size without zafirlukast, approximately: 21784200",All patients number is approximately: 21799000,,infores:isb-EHRMLA-data,prediction,computational_model
PUBCHEM.COMPOUND:5717,biolink:associated_with_increased_likelihood_of,FB:FBgn0001201,zafirlukast,hiv,May Treat KG,RO:0003308,biolink:Association,Logistic Regression,0.918906957,0.0119,-0.556,0.58,"[-0.556,0.58]",0.967,14800,21784200,21799000,"Sample size with zafirlukast, approximately: 14800","Sample size without zafirlukast, approximately: 21784200",All patients number is approximately: 21799000,,infores:isb-EHRMLA-data,prediction,computational_model
PUBCHEM.COMPOUND:5717,biolink:associated_with_increased_likelihood_of,MONDO:0004981,zafirlukast,atrial fibrillation,May Treat KG,RO:0003308,biolink:Association,Logistic Regression,0.918906957,0.0069,-1.1,1.114,"[-1.1,1.114]",0.99,14800,21784200,21799000,"Sample size with zafirlukast, approximately: 14800","Sample size without zafirlukast, approximately: 21784200",All patients number is approximately: 21799000,,infores:isb-EHRMLA-data,prediction,computational_model
HMDB:HMDB0259875,biolink:associated_with_increased_likelihood_of,MONDO:0005010,vortioxetine,chronic ischemic heart disease,May Treat KG,RO:0003308,biolink:Association,Logistic Regression,0.873560223,0.7396,0.691,0.788,"[0.691,0.788]",1.00E-04,51100,21765100,21816200,"Sample size with vortioxetine, approximately: 51100","Sample size without vortioxetine, approximately: 21765100",All patients number is approximately: 21816200,,infores:isb-EHRMLA-data,prediction,computational_model
HMDB:HMDB0259875,biolink:associated_with_increased_likelihood_of,MONDO:0004648,vortioxetine,vascular dementia,May Treat KG,RO:0003308,biolink:Association,Logistic Regression,0.873560223,0.7122,0.68,0.744,"[0.68,0.744]",1.00E-04,51100,21765100,21816200,"Sample size with vortioxetine, approximately: 51100","Sample size without vortioxetine, approximately: 21765100",All patients number is approximately: 21816200,,infores:isb-EHRMLA-data,prediction,computational_model
HMDB:HMDB0259875,biolink:associated_with_increased_likelihood_of,MONDO:0005147,vortioxetine,diabetes type 1,May Treat KG,RO:0003308,biolink:Association,Logistic Regression,0.873560223,0.1772,0.103,0.251,"[0.103,0.251]",1.00E-04,51100,21765100,21816200,"Sample size with vortioxetine, approximately: 51100","Sample size without vortioxetine, approximately: 21765100",All patients number is approximately: 21816200,,infores:isb-EHRMLA-data,prediction,computational_model
HMDB:HMDB0259875,biolink:associated_with_increased_likelihood_of,FB:FBgn0001201,vortioxetine,hiv,May Treat KG,RO:0003308,biolink:Association,Logistic Regression,0.873560223,0.1606,0.125,0.196,"[0.125,0.196]",1.00E-04,51100,21765100,21816200,"Sample size with vortioxetine, approximately: 51100","Sample size without vortioxetine, approximately: 21765100",All patients number is approximately: 21816200,,infores:isb-EHRMLA-data,prediction,computational_model
